"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","5.5"
"Velocity","Throughput(Cards Count)","3"
"Cycle time","Average cycle time(days/storyPoint)","5.39"
"Cycle time","Average cycle time(days/card)","9.88"
"Cycle time","Total development time / Total cycle time(%)","74.29"
"Cycle time","Total block time / Total cycle time(%)","6.71"
"Cycle time","Total review time / Total cycle time(%)","12.35"
"Cycle time","Total waiting for testing time / Total cycle time(%)","3.34"
"Cycle time","Total testing time / Total cycle time(%)","3.31"
"Cycle time","Average development time(days/storyPoint)","4.00"
"Cycle time","Average development time(days/card)","7.34"
"Cycle time","Average block time(days/storyPoint)","0.36"
"Cycle time","Average block time(days/card)","0.66"
"Cycle time","Average review time(days/storyPoint)","0.67"
"Cycle time","Average review time(days/card)","1.22"
"Cycle time","Average waiting for testing time(days/storyPoint)","0.18"
"Cycle time","Average waiting for testing time(days/card)","0.33"
"Cycle time","Average testing time(days/storyPoint)","0.18"
"Cycle time","Average testing time(days/card)","0.33"
"Classifications","Issue Type / Task(Value/Cards count%)","66.67"
"Classifications","Issue Type / Task(Value/Story point%)","63.64"
"Classifications","Issue Type / Story(Value/Cards count%)","33.33"
"Classifications","Issue Type / Story(Value/Story point%)","36.36"
"Classifications","Parent / ADM-868(Value/Cards count%)","100.00"
"Classifications","Parent / ADM-868(Value/Story point%)","100.00"
"Classifications","Story testing-2 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-2 / None(Value/Story point%)","100.00"
"Classifications","Story testing-1 / 1.0(Value/Cards count%)","66.67"
"Classifications","Story testing-1 / 1.0(Value/Story point%)","63.64"
"Classifications","Story testing-1 / None(Value/Cards count%)","33.33"
"Classifications","Story testing-1 / None(Value/Story point%)","36.36"
"Classifications","Design / None(Value/Cards count%)","100.00"
"Classifications","Design / None(Value/Story point%)","100.00"
"Classifications","Vulnerability / None(Value/Cards count%)","100.00"
"Classifications","Vulnerability / None(Value/Story point%)","100.00"
"Classifications","Sprint / Sprint37(Value/Cards count%)","100.00"
"Classifications","Sprint / Sprint37(Value/Story point%)","100.00"
"Classifications","Sprint / Sprint 35(Value/Cards count%)","33.33"
"Classifications","Sprint / Sprint 35(Value/Story point%)","54.55"
"Classifications","Sprint / Sprint 36(Value/Cards count%)","66.67"
"Classifications","Sprint / Sprint 36(Value/Story point%)","90.91"
"Classifications","Sprint / Sprint34(Value/Cards count%)","33.33"
"Classifications","Sprint / Sprint34(Value/Story point%)","54.55"
"Classifications","Project / Auto Dora Metrics(Value/Cards count%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Story point%)","100.00"
"Classifications","Flagged / None(Value/Cards count%)","100.00"
"Classifications","Flagged / None(Value/Story point%)","100.00"
"Classifications","Fix versions / None(Value/Cards count%)","100.00"
"Classifications","Fix versions / None(Value/Story point%)","100.00"
"Classifications","Priority / Medium(Value/Cards count%)","100.00"
"Classifications","Priority / Medium(Value/Story point%)","100.00"
"Classifications","Partner / YinYuan Zhou(Value/Cards count%)","33.33"
"Classifications","Partner / YinYuan Zhou(Value/Story point%)","54.55"
"Classifications","Partner / None(Value/Cards count%)","66.67"
"Classifications","Partner / None(Value/Story point%)","45.45"
"Classifications","Labels / 1.1.7(Value/Cards count%)","100.00"
"Classifications","Labels / 1.1.7(Value/Story point%)","100.00"
"Classifications","Time tracking / None(Value/Cards count%)","100.00"
"Classifications","Time tracking / None(Value/Story point%)","100.00"
"Classifications","Story point estimate / 2.0(Value/Cards count%)","33.33"
"Classifications","Story point estimate / 2.0(Value/Story point%)","36.36"
"Classifications","Story point estimate / 3.0(Value/Cards count%)","33.33"
"Classifications","Story point estimate / 3.0(Value/Story point%)","54.55"
"Classifications","Story point estimate / 0.5(Value/Cards count%)","33.33"
"Classifications","Story point estimate / 0.5(Value/Story point%)","9.09"
"Classifications","QA / None(Value/Cards count%)","100.00"
"Classifications","QA / None(Value/Story point%)","100.00"
"Classifications","Feature/Operation / None(Value/Cards count%)","100.00"
"Classifications","Feature/Operation / None(Value/Story point%)","100.00"
"Classifications","Assignee / Chao Wang(Value/Cards count%)","33.33"
"Classifications","Assignee / Chao Wang(Value/Story point%)","54.55"
"Classifications","Assignee / YinYuan Zhou(Value/Cards count%)","33.33"
"Classifications","Assignee / YinYuan Zhou(Value/Story point%)","9.09"
"Classifications","Assignee / Qiuhong Lei(Value/Cards count%)","33.33"
"Classifications","Assignee / Qiuhong Lei(Value/Story point%)","36.36"
"Rework","Total rework times","1"
"Rework","Total rework cards","1"
"Rework","Rework cards ratio(Total rework cards/Throughput%)","33.33"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","2.00"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","4"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","10.78"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.59"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","11.38"
"Pipeline change failure rate","Heartbeat / Deploy prod / Pipeline change failure rate(%)","0"
"Pipeline mean time to recovery","Heartbeat / Deploy prod / Pipeline mean time to recovery","0"
