"Group","Metrics","Value"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","2.00"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","20"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","12.96"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.45"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","13.41"
"Lead time for changes","MYOB-Technology / AD-Framework / PR Lead Time","45.14"
"Lead time for changes","MYOB-Technology / AD-Framework / Pipeline Lead Time","0"
"Lead time for changes","MYOB-Technology / AD-Framework / Total Lead Time","45.14"
"Lead time for changes","Average / PR Lead Time","29.05"
"Lead time for changes","Average / Pipeline Lead Time","0.22"
"Lead time for changes","Average / Total Lead Time","29.28"
"Pipeline change failure rate","Heartbeat / Deploy prod / Pipeline change failure rate(%)","9.09"
"Pipeline mean time to recovery","Heartbeat / Deploy prod / Pipeline mean time to recovery","1.10"
