"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","1.0"
"Velocity","Throughput(Cards Count)","1"
"Cycle time","Average cycle time(days/storyPoint)","6.87"
"Cycle time","Average cycle time(days/card)","6.87"
"Cycle time","Total design time / Total cycle time(%)","55.90"
"Cycle time","Total development time / Total cycle time(%)","29.11"
"Cycle time","Total block time / Total cycle time(%)","2.18"
"Cycle time","Total review time / Total cycle time(%)","0"
"Cycle time","Total testing time / Total cycle time(%)","10.77"
"Cycle time","Total waiting for deployment time / Total cycle time(%)","2.04"
"Cycle time","Average design time(days/storyPoint)","3.84"
"Cycle time","Average design time(days/card)","3.84"
"Cycle time","Average development time(days/storyPoint)","2.00"
"Cycle time","Average development time(days/card)","2.00"
"Cycle time","Average block time(days/storyPoint)","0.15"
"Cycle time","Average block time(days/card)","0.15"
"Cycle time","Average review time(days/storyPoint)","0"
"Cycle time","Average review time(days/card)","0"
"Cycle time","Average testing time(days/storyPoint)","0.74"
"Cycle time","Average testing time(days/card)","0.74"
"Cycle time","Average waiting for deployment time(days/storyPoint)","0.14"
"Cycle time","Average waiting for deployment time(days/card)","0.14"
"Classifications","Issue Type / Bug(Value/Cards count%)","100.00"
"Classifications","Issue Type / Bug(Value/Story point%)","100.00"
"Classifications","Parent / ADM-868(Value/Cards count%)","100.00"
"Classifications","Parent / ADM-868(Value/Story point%)","100.00"
"Classifications","Story testing-2 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-2 / None(Value/Story point%)","100.00"
"Classifications","Story testing-1 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-1 / None(Value/Story point%)","100.00"
"Classifications","Design / None(Value/Cards count%)","100.00"
"Classifications","Design / None(Value/Story point%)","100.00"
"Classifications","Vulnerability / None(Value/Cards count%)","100.00"
"Classifications","Vulnerability / None(Value/Story point%)","100.00"
"Classifications","Sprint / Sprint37(Value/Cards count%)","100.00"
"Classifications","Sprint / Sprint37(Value/Story point%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Cards count%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Story point%)","100.00"
"Classifications","Flagged / None(Value/Cards count%)","100.00"
"Classifications","Flagged / None(Value/Story point%)","100.00"
"Classifications","Fix versions / None(Value/Cards count%)","100.00"
"Classifications","Fix versions / None(Value/Story point%)","100.00"
"Classifications","Priority / High(Value/Cards count%)","100.00"
"Classifications","Priority / High(Value/Story point%)","100.00"
"Classifications","Partner / None(Value/Cards count%)","100.00"
"Classifications","Partner / None(Value/Story point%)","100.00"
"Classifications","Labels / 1.1.7(Value/Cards count%)","100.00"
"Classifications","Labels / 1.1.7(Value/Story point%)","100.00"
"Classifications","Time tracking / None(Value/Cards count%)","100.00"
"Classifications","Time tracking / None(Value/Story point%)","100.00"
"Classifications","Story point estimate / 1.0(Value/Cards count%)","100.00"
"Classifications","Story point estimate / 1.0(Value/Story point%)","100.00"
"Classifications","QA / None(Value/Cards count%)","100.00"
"Classifications","QA / None(Value/Story point%)","100.00"
"Classifications","Feature/Operation / None(Value/Cards count%)","100.00"
"Classifications","Feature/Operation / None(Value/Story point%)","100.00"
"Classifications","Assignee / Man Tang(Value/Cards count%)","100.00"
"Classifications","Assignee / Man Tang(Value/Story point%)","100.00"
"Rework","Total rework times","1"
"Rework","Total rework cards","1"
"Rework","Rework cards ratio(Total rework cards/Throughput%)","100.00"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","0.50"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","1"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","1.86"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.36"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","2.22"
"Pipeline change failure rate","Heartbeat / Deploy prod / Pipeline change failure rate(%)","0"
"Pipeline mean time to recovery","Heartbeat / Deploy prod / Pipeline mean time to recovery","0"
